lng,lat,elevation
-113.5021187,53.58524834,227000
-113.4846785,53.57677262,227000
-113.4102492,53.58849257,227500
-113.388158,53.5916795,227500
-113.4324909,53.57335766,227500
-113.4020402,53.59339861,228000
-113.4693952,53.59412285,228500
-113.4802177,53.55005596,228500
-113.526247,53.61949052,229000
-113.527402,53.61938276,229000
-113.5250446,53.60945974,229500
-113.4066573,53.59591071,229500
-113.4012657,53.59368678,229500
-113.5021012,53.58576945,229500
-113.3962283,53.57568948,229500
-113.4010351,53.57254608,229500
-113.3957746,53.57453474,229500
-113.4068298,53.59590932,230000
-113.4013518,53.59270325,230000
-113.4020486,53.59329981,230000
-113.4335406,53.57484083,230000
-113.4343686,53.57484474,230000
-113.5063196,53.58526125,230000
-113.4361669,53.57171038,230000
-113.3960032,53.57486388,230000
-113.4702152,53.58511582,230500
-113.3881571,53.59189516,230500
-113.4012943,53.59335894,230500
-113.4012847,53.59347121,230500
-113.4012751,53.593579,230500
-113.5164584,53.55271281,230500
-113.3887383,53.60256224,231000
-113.4698164,53.59412023,231000
-113.4867232,53.55550486,231000
-113.4010378,53.57154864,231000
-113.4172949,53.57104934,231000
-113.3883119,53.60968369,231000
-113.4020234,53.59358723,231500
-113.5016776,53.58576769,231500
-113.436357,53.57167758,231500
-113.5257515,53.61951776,232000
-113.4020318,53.59349292,232000
-113.4348448,53.57525361,232000
-113.4722301,53.56719771,232500
-113.4858471,53.55565386,233000
-113.3875752,53.59353887,233000
-113.502533,53.58525006,233000
-113.5027402,53.58525092,233000
-113.4887121,53.5809347,233000
-113.3877593,53.59353981,233500
-113.3894882,53.602611,233500
-113.501671,53.615835,233500
-113.4799295,53.55011087,233500
-113.4332717,53.57484629,233500
-113.3827992,53.61319586,233500
-113.4702645,53.59464115,234000
-113.4020905,53.59282376,234000
-113.50167,53.615934,234000
-113.4687969,53.59412694,234000
-113.4041109,53.5717482,234000
-113.4340038,53.59081335,234000
-113.3879434,53.59354075,234500
-113.5265763,53.61946486,235000
-113.4677689,53.59456268,235000
-113.4013327,53.59292331,235000
-113.499203,53.5907089,235000
-113.3957731,53.57486272,235000
-113.546736,53.58734193,235500
-113.4331591,53.59252342,236000
-113.5171065,53.59136179,236000
-113.4972639,53.5898139,236500
-113.401039,53.5710679,236500
-113.4049821,53.57292521,237000
-113.3953128,53.57486489,237000
-113.468052,53.59455945,237500
-113.4692572,53.59412224,237500
-113.4797854,53.55014169,237500
-113.4776915,53.5897832,237500
-113.4882563,53.580935,238000
-113.5255861,53.61952834,238000
-113.5260819,53.6195011,238000
-113.4801159,53.56567317,238000
-113.5469777,53.58734284,238000
-113.5276598,53.6006055,238500
-113.4683765,53.59412956,238500
-113.4315746,53.5925204,239000
-113.4010359,53.57223606,239000
-113.406461,53.59591423,239500
-113.3891928,53.60258703,239500
-113.4814075,53.59045533,239500
-113.3958189,53.57261869,239500
-113.3962333,53.57486504,239500
-113.526412,53.61947994,240000
-113.5055123,53.58526016,240000
-113.4893071,53.55506212,240000
-113.4020822,53.59291807,240500
-113.4020654,53.59311118,240500
-113.504444,53.620349,240500
-113.504549,53.620403,240500
-113.4827584,53.63041256,240500
-113.4334512,53.59252705,240500
-113.5267404,53.61944979,240500
-113.4983412,53.5903248,240500
-113.5047949,53.58525944,240500
-113.504324,53.620294,241000
-113.394624,53.57453566,241000
-113.4010336,53.5731032,241500
-113.4360128,53.57167596,241500
-113.4337599,53.59904783,241500
-113.3884214,53.60255164,242000
-113.4832614,53.63041474,242000
-113.4330194,53.59252276,242000
-113.41642,53.57112145,242000
-113.4343694,53.57375969,242000
-113.4879513,53.58093594,242000
-113.5012326,53.58524465,242000
-113.4010355,53.57239332,242500
-113.4319541,53.57523992,242500
-113.3878079,53.60894876,242500
-113.5324786,53.59512729,243000
-113.4702592,53.57690284,243000
-113.4822727,53.55577547,243000
-113.4157483,53.57524724,243000
-113.4715466,53.56560642,243000
-113.3881558,53.59222315,243500
-113.4338984,53.57167046,243500
-113.4884056,53.57687623,243500
-113.4195537,53.57686078,243500
-113.4049816,53.57321276,243500
-113.4020225,53.59369506,244000
-113.4830937,53.63041401,244000
-113.4698237,53.59464369,244000
